wv,intens
4989.459023,13275.41016
4989.470168,13555.55371
4989.481313,13590.0498
4989.492456,13561.4209
4989.5036,13615.58594
4989.514742,13681.7002
4989.525884,13517.30078
4989.537025,13829.33691
4989.548166,13291.32129
4989.559306,13492.75391
4989.570445,13673.13574
4989.581584,13606.76758
4989.592723,13769.7998
4989.60386,13808.11914
4989.614997,13613.56738
4989.626133,13411.53418
4989.637269,13344.51953
4989.648404,13188.01367
4989.659539,13041.80566
4989.670673,12914.44824
4989.681806,12221.25488
4989.692939,12096.91309
4989.704071,11186.95898
4989.715202,10589.65723
4989.726333,9549.683594
4989.737463,8359.782227
4989.748593,7440.698242
4989.759722,6332.926758
4989.77085,5787.969238
4989.781978,5055.215332
4989.793105,4876.638672
4989.804232,4985.373047
4989.815358,5809.782715
4989.826483,6539.451172
4989.837607,7557.476563
4989.848732,8700.148438
4989.859855,9668.65332
4989.870978,10525.57129
4989.8821,10956.51758
4989.893222,11619.27637
4989.904343,11725.13672
4989.915463,11617.04102
4989.926583,11300.4043
4989.937702,10705.02344
4989.94882,10226.71094
4989.959938,9938.25293
4989.971055,9581.807617
4989.982172,9829.59668
4989.993288,10219.41113
4990.004404,10621.54883
4990.015518,11436.65918
4990.026633,12079.76953
4990.037746,12906.39844
4990.048859,13237.81934
4990.059972,13642.24219
4990.071083,13749.42773
4990.082195,14077.60547
4990.093305,14458.30664
4990.104415,14509.49805
4990.115524,14519.89746
4990.126633,14742.11621
4990.137741,14398.00684
4990.148848,14664.09863
4990.159955,14710.12891
4990.171061,14750.25879
4990.182167,14927.01172
4990.193272,14821.82422
4990.204376,15081.19727
4990.21548,14908.53906
4990.226583,14945.67188
4990.237686,15025.33105
4990.248788,14828.40039
4990.259889,15197.34473
4990.27099,15114.0752
4990.28209,15108.78516
4990.293189,14963.0332
4990.304288,15191.45703
4990.315386,15045.2998
4990.326484,15162.38281
4990.337581,15159.54395
4990.348677,14906.01172
4990.359773,14986.02148
4990.370868,14738.3457
4990.381963,14461.49316
4990.393057,14645.30859
4990.40415,15171.80371
4990.415243,14965.03906
4990.426335,15148.42969
4990.437427,15134.42676
4990.448517,15365.58301
4990.459608,15634.31152
4990.470697,15701.8291
4990.481786,15719.98926
4990.492875,15673.70215
4990.503963,15984.97656
4990.51505,15869.91602
4990.526136,15709.66016
4990.537222,15886.43848
4990.548308,15862.125
4990.559392,15808.46777
4990.570477,15800.21094
4990.58156,16001.85645
4990.592643,16062.16406
4990.603725,16003.28418
4990.614807,16093.9248
4990.625888,15841.1123
4990.636968,16066.36328
4990.648048,15947.02637
4990.659128,15851.36426
4990.670206,15961.875
4990.681284,15971.05469
4990.692362,15927.90918
4990.703438,15945.25781
4990.714515,15553.58398
4990.72559,15760.53613
4990.736665,15645.3916
4990.747739,15796.33984
4990.758813,15306.95508
4990.769886,15320.21973
4990.780959,15284.1543
4990.792031,15383.33887
4990.803102,15403
