wv,intens
4989.459023,68666.97926
4989.470168,68784.73189
4989.481313,68902.52878
4989.492456,69020.36995
4989.5036,69138.25541
4989.514742,69256.18518
4989.525884,69374.15926
4989.537025,69492.17767
4989.548166,69610.24041
4989.559306,69728.34752
4989.570445,69846.49899
4989.581584,69964.69484
4989.592723,70082.93508
4989.60386,70201.21973
4989.614997,70319.5488
4989.626133,70437.92231
4989.637269,70556.34025
4989.648404,70674.80266
4989.659539,70793.30954
4989.670673,70911.8609
4989.681806,71030.45676
4989.692939,71149.09713
4989.704071,71267.78202
4989.715202,71386.51145
4989.726333,71505.28543
4989.737463,71624.10398
4989.748593,71742.9671
4989.759722,71861.87482
4989.77085,71980.82713
4989.781978,72099.82407
4989.793105,72218.86564
4989.804232,72337.95185
4989.815358,72457.08272
4989.826483,72576.25827
4989.837607,72695.4785
4989.848732,72814.74343
4989.859855,72934.05307
4989.870978,73053.40744
4989.8821,73172.80655
4989.893222,73292.25041
4989.904343,73411.73904
4989.915463,73531.27245
4989.926583,73650.85066
4989.937702,73770.47367
4989.94882,73890.14151
4989.959938,74009.85418
4989.971055,74129.6117
4989.982172,74249.41408
4989.993288,74369.26134
4990.004404,74489.15348
4990.015518,74609.09053
4990.026633,74729.07249
4990.037746,74849.09938
4990.048859,74969.1712
4990.059972,75089.28798
4990.071083,75209.44973
4990.082195,75329.65646
4990.093305,75449.90817
4990.104415,75570.20489
4990.115524,75690.54663
4990.126633,75810.93339
4990.137741,75931.36519
4990.148848,76051.84204
4990.159955,76172.36395
4990.171061,76292.93093
4990.182167,76413.543
4990.193272,76534.20016
4990.204376,76654.90242
4990.21548,76775.6498
4990.226583,76896.4423
4990.237686,77017.27994
4990.248788,77138.16272
4990.259889,77259.09064
4990.27099,77380.06373
4990.28209,77501.08199
4990.293189,77622.14542
4990.304288,77743.25403
4990.315386,77864.40783
4990.326484,77985.60682
4990.337581,78106.85102
4990.348677,78228.14042
4990.359773,78349.47503
4990.370868,78470.85485
4990.381963,78592.27989
4990.393057,78713.75015
4990.40415,78835.26564
4990.415243,78956.82635
4990.426335,79078.43228
4990.437427,79200.08343
4990.448517,79321.77981
4990.459608,79443.52141
4990.470697,79565.30822
4990.481786,79687.14025
4990.492875,79809.01749
4990.503963,79930.93994
4990.51505,80052.90757
4990.526136,80174.9204
4990.537222,80296.9784
4990.548308,80419.08158
4990.559392,80541.2299
4990.570477,80663.42338
4990.58156,80785.66198
4990.592643,80907.94569
4990.603725,81030.27449
4990.614807,81152.64838
4990.625888,81275.06731
4990.636968,81397.53128
4990.648048,81520.04026
4990.659128,81642.59422
4990.670206,81765.19314
4990.681284,81887.83698
4990.692362,82010.52571
4990.703438,82133.25929
4990.714515,82256.0377
4990.72559,82378.86089
4990.736665,82501.72882
4990.747739,82624.64145
4990.758813,82747.59873
4990.769886,82870.60061
4990.780959,82993.64704
4990.792031,83116.73795
4990.803102,83239.87331
4990.814172,83363.05304
4990.825242,83486.27707
4990.836312,83609.54534
4990.847381,83732.85778
4990.858449,83856.21431
4990.869516,83979.61485
4990.880583,84103.05932
4990.89165,84226.54763
4990.902716,84350.07968
4990.913781,84473.65538
4990.924845,84597.27463
4990.935909,84720.93733
4990.946973,84844.64335
4990.958035,84968.39258
4990.969097,85092.18491
4990.980159,85216.0202
4990.99122,85339.89832
4991.00228,85463.81913
4991.01334,85587.78249
